ID,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3
1381,6.24,-1,2927,[None],,,https://cactus.nci.nih.gov/chemical/structure/%28.%29CD2CHDCl/smiles,https://cactus.nci.nih.gov/chemical/structure/DCl/smiles,
1382,1.5,-10,-6211,[None],,,[None],https://cactus.nci.nih.gov/chemical/structure/DCl/smiles,
1383,1.37,-10,831,[None],,,[None],https://cactus.nci.nih.gov/chemical/structure/DCl/smiles,
1384,1.73,-11,-9545,[None],,,https://cactus.nci.nih.gov/chemical/structure/CD2ClCDCl%28.%29/smiles,https://cactus.nci.nih.gov/chemical/structure/DCl/smiles,
1386,2.94,-14,-7400,[None],,,[None],https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,
1387,9.51,-11,-5072,[None],,,[None],https://cactus.nci.nih.gov/chemical/structure/DCl/smiles,
1388,3.11,-12,-11890,[None],,,[None],https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,
1389,6.76,-14,-5737,[None],,,[None],https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,
1390,6.61,-12,-12887,[None],,,[None],https://cactus.nci.nih.gov/chemical/structure/NCl/smiles,
1391,6.61,-12,-12971,[None],,,[None],https://cactus.nci.nih.gov/chemical/structure/NCl/smiles,
1392,1.55,-11,-4490,[None],,,[None],https://cactus.nci.nih.gov/chemical/structure/DCl/smiles,
1393,9.44,-1,8231,[None],,,[None],https://cactus.nci.nih.gov/chemical/structure/DCl/smiles,
1394,1.55,-11,-4473,[None],,,https://cactus.nci.nih.gov/chemical/structure/CHD2CDCl%28.%29/smiles,https://cactus.nci.nih.gov/chemical/structure/DCl/smiles,
1395,9.44,-1,8231,[None],,,https://cactus.nci.nih.gov/chemical/structure/CHD2CDCl%28.%29/smiles,https://cactus.nci.nih.gov/chemical/structure/DCl/smiles,
1396,4.1,-44,-15990,[None],,,https://cactus.nci.nih.gov/chemical/structure/CF2ClCH2%28.%29/smiles,https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,
1397,1,-12,-14966,[None],,,https://cactus.nci.nih.gov/chemical/structure/%28.%29CH2CCl2F/smiles,https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,
1398,1.79,-12,-16629,[None],,,https://cactus.nci.nih.gov/chemical/structure/%28.%29CH2CCl2F/smiles,https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,
1399,1,-12,-14966,[None],,,https://cactus.nci.nih.gov/chemical/structure/%28.%29CH2CCl2F/smiles,https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,
1400,1,-12,-14966,[None],,,https://cactus.nci.nih.gov/chemical/structure/%28.%29CH2CCl2F/smiles,https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,
1401,3.01,-12,-18458,[None],,,https://cactus.nci.nih.gov/chemical/structure/%28.%29CH2CCl2F/smiles,https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,
1402,1.6,-12,-14966,[None],,,https://cactus.nci.nih.gov/chemical/structure/%28.%29CH2CCl2F/smiles,https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,
1403,3.5,-43,-14026,[None],,,https://cactus.nci.nih.gov/chemical/structure/%28.%29CH2CCl2F/smiles,https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,
1404,4.65,2,18375,[None],,,https://cactus.nci.nih.gov/chemical/structure/CHCl2CCl3/smiles,,
1405,2.14,-11,-3367,[None],,,[None],https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,
1406,2.6,-2,9312,[None],,,[None],https://cactus.nci.nih.gov/chemical/structure/HCl/smiles,
